[FTL] 2016-07-30 06:59:23 | Error: FATAL:  database "lisk_main" does not exist
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://103.225.160.7:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://45.63.69.131:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://52.160.98.183:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://63.142.254.178:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://188.68.56.243:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://104.238.190.166:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://163.172.210.151:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://45.63.43.16:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://45.63.84.109:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://66.11.122.192:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://185.47.128.110:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://149.56.155.180:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://45.32.67.74:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://138.201.95.181:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://209.222.98.250:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://139.59.137.11:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://157.7.138.121:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://45.63.78.153:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://212.24.97.115:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://52.196.178.214:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://164.132.106.1:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://104.238.171.84:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://45.32.156.91:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://212.24.111.166:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://149.56.20.54:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://108.61.191.137:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://45.63.96.36:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://159.203.231.123:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://5.255.80.103:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://163.172.159.106:8000/peer/blocks
[WRN] 2016-07-30 07:47:04 | Removing peer POST http://185.92.221.251:8000/peer/blocks
[inf] 2016-07-30 07:47:10 | Forged new block id: 8074768825930847575 height: 25 round: 1 slot: 575563 reward: 0
[WRN] 2016-07-30 07:47:14 | Removing peer POST http://45.55.189.160:8000/peer/blocks
[WRN] 2016-07-30 07:47:14 | Removing peer POST http://64.137.208.245:8000/peer/blocks
[WRN] 2016-07-30 07:47:14 | Removing peer POST http://45.32.240.49:8000/peer/blocks
[WRN] 2016-07-30 07:47:14 | Removing peer POST http://23.254.114.36:8000/peer/blocks
[inf] 2016-07-30 07:47:23 | Forged new block id: 10232414585198053814 height: 26 round: 1 slot: 575564 reward: 0
[inf] 2016-07-30 07:47:30 | Forged new block id: 15496519971745785022 height: 27 round: 1 slot: 575565 reward: 0
[inf] 2016-07-30 07:47:40 | Forged new block id: 10934823083019760846 height: 28 round: 1 slot: 575566 reward: 0
[inf] 2016-07-30 07:47:50 | Forged new block id: 10177374355720069362 height: 29 round: 1 slot: 575567 reward: 0
[WRN] 2016-07-30 07:47:54 | Removing peer POST http://139.196.233.71:8000/peer/blocks
[WRN] 2016-07-30 07:47:54 | Removing peer POST http://120.76.120.30:8000/peer/blocks
[WRN] 2016-07-30 07:48:05 | Removing peer GET http://123.57.208.32:8000/peer/height
[inf] 2016-07-30 07:48:07 | Forged new block id: 16825862030463730508 height: 30 round: 1 slot: 575568 reward: 0
[inf] 2016-07-30 07:48:10 | Forged new block id: 2202142284894557949 height: 31 round: 1 slot: 575569 reward: 0
[inf] 2016-07-30 07:48:23 | Forged new block id: 6203732164303244627 height: 32 round: 1 slot: 575570 reward: 0
[inf] 2016-07-30 07:48:30 | Forged new block id: 4324432825195545975 height: 33 round: 1 slot: 575571 reward: 0
[WRN] 2016-07-30 07:48:34 | Removing peer POST http://123.56.240.116:8000/peer/blocks
